c_label,size,nprocs,mean_runtime,T1,speedup,efficiency
benchmark,120,1,0.1691984664648771,0.1691984664648771,1.0,1.0
benchmark,120,2,0.09206564289828136,0.1691984664648771,1.8378024759118434,0.9189012379559217
benchmark,120,4,0.06091036895910897,0.1691984664648771,2.7778269834232217,0.6944567458558054
benchmark,120,8,0.047234505414962706,0.1691984664648771,3.5820945933156585,0.4477618241644573
benchmark,120,16,0.05444475449621674,0.1691984664648771,3.1077092371981285,0.19423182732488303
benchmark,120,24,0.06578513669470944,0.1691984664648771,2.571986241361483,0.10716609339006179
benchmark,120,32,0.0776680093258619,0.1691984664648771,2.178483367006258,0.06807760521894557
benchmark,1030,1,11.712059199810028,11.712059199810028,1.0,1.0
benchmark,1030,2,5.785275012875597,11.712059199810028,2.0244602328746506,1.0122301164373253
benchmark,1030,4,2.9385942462831736,11.712059199810028,3.985599309814143,0.9963998274535357
benchmark,1030,8,1.47777228243649,11.712059199810028,7.925483065969858,0.9906853832462322
benchmark,1030,16,0.788961390654246,11.712059199810028,14.844907923945184,0.927806745246574
benchmark,1030,24,0.5766296125948429,11.712059199810028,20.311234359098496,0.846301431629104
benchmark,1030,32,0.5061528707544009,11.712059199810028,23.139371277996837,0.7231053524374011
student,120,1,0.1818353210886319,0.1818353210886319,1.0,1.0
student,120,2,0.09826914283136519,0.1818353210886319,1.850380657137414,0.925190328568707
student,120,4,0.06931952262918153,0.1818353210886319,2.6231473355831283,0.6557868338957821
student,120,8,0.05279294649759927,0.1818353210886319,3.4443109004514603,0.43053886255643253
student,120,16,0.061304455623030635,0.1818353210886319,2.9661028589302187,0.18538142868313867
student,120,24,0.0728555539002021,0.1818353210886319,2.4958333490636946,0.10399305621098727
student,120,32,0.08454876268903411,0.1818353210886319,2.1506562048390068,0.06720800640121896
student,1030,1,12.391704045856992,12.391704045856992,1.0,1.0
student,1030,2,6.161583874374628,12.391704045856992,2.0111231622428725,1.0055615811214362
student,1030,4,3.1264677631358304,12.391704045856992,3.963483708985433,0.9908709272463583
student,1030,8,1.5842022554328044,12.391704045856992,7.822046713644891,0.9777558392056114
student,1030,16,0.8406361769884825,12.391704045856992,14.7408645797869,0.9213040362366812
student,1030,24,0.609586464241147,12.391704045856992,20.328049871125327,0.8470020779635553
student,1030,32,0.5267266848435005,12.391704045856992,23.525871011336324,0.7351834691042601
