size,patch,nprocs,runtime,rep
900,20,20,0.5493000838905573,1
900,20,20,0.5377758052200079,2
900,20,20,0.5421134289354086,3
900,21,20,0.5448267795145512,1
900,21,20,0.5454882960766554,2
900,21,20,0.5540640875697136,3
900,22,20,0.5434761997312307,1
900,22,20,0.5495744198560715,2
900,22,20,0.5384925026446581,3
900,23,20,0.5507490504533052,1
900,23,20,0.5407474916428328,2
900,23,20,0.5434643756598234,3
900,24,20,0.5675548072904348,1
900,24,20,0.5401914324611425,2
900,24,20,0.5394041482359171,3
900,25,20,0.5485358070582151,1
900,25,20,0.546653538942337,2
900,25,20,0.5407879427075386,3
900,26,20,0.5431494954973459,1
900,26,20,0.5488686226308346,2
900,26,20,0.5385073237121105,3
900,27,20,0.5384750906378031,1
900,27,20,0.5351420976221561,2
900,27,20,0.5392342284321785,3
900,28,20,0.5406149942427874,1
900,28,20,0.5438691191375256,2
900,28,20,0.5421590972691774,3
900,29,20,0.5444933231920004,1
900,29,20,0.5628387425094843,2
900,29,20,0.5791415888816118,3
900,30,20,0.5454295016825199,1
900,30,20,0.5490364320576191,2
900,30,20,0.5410310681909323,3
900,31,20,0.5536684803664684,1
900,31,20,0.5507251974195242,2
900,31,20,0.5488416831940413,3
900,32,20,0.5490139760077,1
900,32,20,0.542011171579361,2
900,32,20,0.546776520088315,3
900,33,20,0.5556052625179291,1
900,33,20,0.5639923792332411,2
900,33,20,0.5583886206150055,3
900,34,20,0.5430284757167101,1
900,34,20,0.54462013207376,2
900,34,20,0.5460297260433435,3
900,35,20,0.5581809729337692,1
900,35,20,0.5612158589065075,2
900,35,20,0.5718604866415262,3
900,36,20,0.560011787340045,1
900,36,20,0.5624405145645142,2
900,36,20,0.5805127043277025,3
900,37,20,0.5522002372890711,1
900,37,20,0.5541716907173395,2
900,37,20,0.5510334502905607,3
900,38,20,0.5623358879238367,1
900,38,20,0.5694648995995522,2
900,38,20,0.5803378373384476,3
900,39,20,0.5636123064905405,1
900,39,20,0.5625661201775074,2
900,39,20,0.5661195702850819,3
900,40,20,0.5719462595880032,1
900,40,20,0.5672701764851809,2
900,40,20,0.5698177516460419,3
900,41,20,0.5751597806811333,1
900,41,20,0.5680985115468502,2
900,41,20,0.5736234895884991,3
900,42,20,0.5792547482997179,1
900,42,20,0.5796454399824142,2
900,42,20,0.5867579206824303,3
900,43,20,0.5739098992198706,1
900,43,20,0.5726217795163393,2
900,43,20,0.5771127119660378,3
900,44,20,0.5685698837041855,1
900,44,20,0.5702765956521034,2
900,44,20,0.5645241774618626,3
900,45,20,0.5865171495825052,1
900,45,20,0.590829299762845,2
900,45,20,0.5944547653198242,3
900,46,20,0.5793480668216944,1
900,46,20,0.5789177287369967,2
900,46,20,0.5832248870283365,3
900,47,20,0.5793123878538609,1
900,47,20,0.5805573835968971,2
900,47,20,0.5894949454814196,3
900,48,20,0.5764995254576206,1
900,48,20,0.5795470755547285,2
900,48,20,0.5767156109213829,3
900,49,20,0.5787934139370918,1
900,49,20,0.5796844381839037,2
900,49,20,0.580575056374073,3
900,50,20,0.5869778860360384,1
900,50,20,0.5881634764373302,2
900,50,20,0.5923391319811344,3
900,51,20,0.6125087440013885,1
900,51,20,0.6036095395684242,2
900,51,20,0.6022390387952328,3
900,52,20,0.5737025756388903,1
900,52,20,0.5758140757679939,2
900,52,20,0.5894184280186892,3
900,53,20,0.5906046070158482,1
900,53,20,0.5852548442780972,2
900,53,20,0.5845647994428873,3
900,54,20,0.566609775647521,1
900,54,20,0.575952647253871,2
900,54,20,0.572010088711977,3
900,55,20,0.6079695206135511,1
900,55,20,0.6064231190830469,2
900,55,20,0.6093134954571724,3
900,56,20,0.595827016979456,1
900,56,20,0.6094051823019981,2
900,56,20,0.6141782142221928,3
900,57,20,0.612141277641058,1
900,57,20,0.6046901326626539,2
900,57,20,0.6175200045108795,3
900,58,20,0.605981845408678,1
900,58,20,0.6134631801396608,2
900,58,20,0.6074789240956306,3
900,59,20,0.5796456076204777,1
900,59,20,0.5963941384106874,2
900,59,20,0.5974621511995792,3
900,60,20,0.5985183008015156,1
900,60,20,0.5751556884497404,2
900,60,20,0.5882927030324936,3
