size,patch,nprocs,runtime,rep
880,1,32,50.15714950859547,1
880,1,32,51.13923780247569,2
880,1,32,50.31282071955502,3
880,5,32,2.1480148900300264,1
880,5,32,2.14370303414762,2
880,5,32,2.120762648060918,3
880,10,32,0.618800338357687,1
880,10,32,0.6223266758024693,2
880,10,32,0.6330389957875013,3
880,20,32,0.42087248153984547,1
880,20,32,0.4113005120307207,2
880,20,32,0.40838649310171604,3
880,55,32,0.4652101695537567,1
880,55,32,0.4714251980185509,2
880,55,32,0.4608985483646393,3
880,150,32,1.1475693229585886,1
880,150,32,1.1838290132582188,2
880,150,32,1.1599952224642038,3
880,400,32,3.589724773541093,1
880,400,32,3.6211675256490707,2
880,400,32,3.8400590643286705,3
