nprocs mean_runtime speedup efficiency
1 0.181835 1.000000 1.000000
2 0.098269 1.850381 0.925190
4 0.069320 2.623147 0.655787
8 0.052793 3.444311 0.430539
16 0.061304 2.966103 0.185381
24 0.072856 2.495833 0.103993
32 0.084549 2.150656 0.067208
