nprocs mean_runtime speedup efficiency
1 0.169198 1.000000 1.000000
2 0.092066 1.837802 0.918901
4 0.060910 2.777827 0.694457
8 0.047235 3.582095 0.447762
16 0.054445 3.107709 0.194232
24 0.065785 2.571986 0.107166
32 0.077668 2.178483 0.068078
