nprocs mean_runtime speedup efficiency
1 11.712059 1.000000 1.000000
2 5.785275 2.024460 1.012230
4 2.938594 3.985599 0.996400
8 1.477772 7.925483 0.990685
16 0.788961 14.844908 0.927807
24 0.576630 20.311234 0.846301
32 0.506153 23.139371 0.723105
